Key,Text
translation.iso,en_XD
translation.language,Dotlang
translation.name,Dotlang (Nix's Mods)
translation.author,Nixill
,.
,.
,.
version.mod.LobbyMusic,.
version.mod.Lola,.
version.mod.NixsItems,.
version.mod.NixLib,.
version.mod.PowerSettings,.
version.mod.SaveEditor,.
version.mod.SpatialDistortions,.
version.mod.Switcheroo,.
,.
,.
settings.video.cutscene.subtitles,.
,.
,.
settings.mod.LobbyMusic,.
settings.mod.Lola,.
settings.mod.NixLib,.
settings.mod.NixsItems,.
settings.mod.PowerSettings,.
settings.mod.SaveEditor,.
settings.mod.SpatialDistortions,.
settings.mod.Switcheroo,.
,.
,.
settings.mod.LobbyMusic.shopkeepers,.
settings.mod.LobbyMusic.shopkeepers.description,.
settings.mod.LobbyMusic.shopkeepers.monstrous_shopkeeper,.
settings.mod.LobbyMusic.shopkeepers.nicolas_daoust,.
settings.mod.LobbyMusic.shopkeepers.randomize,.
settings.mod.LobbyMusic.shopkeepers.randomize.description,.
settings.mod.LobbyMusic.shopkeepers.shopkeeper,.
settings.mod.LobbyMusic.soundtracks,.
settings.mod.LobbyMusic.soundtracks.a_rival,.
settings.mod.LobbyMusic.soundtracks.chipzel,.
settings.mod.LobbyMusic.soundtracks.danganronpa,.
settings.mod.LobbyMusic.soundtracks.danny_b,.
settings.mod.LobbyMusic.soundtracks.description,.
settings.mod.LobbyMusic.soundtracks.familyjules7x,.
settings.mod.LobbyMusic.soundtracks.familyjules7x.description,.
settings.mod.LobbyMusic.soundtracks.girlfriend_records,.
settings.mod.LobbyMusic.soundtracks.oc_remix,.
settings.mod.LobbyMusic.soundtracks.order,.
settings.mod.LobbyMusic.soundtracks.order.description,.
settings.mod.LobbyMusic.soundtracks.order.value.ordered,.
settings.mod.LobbyMusic.soundtracks.order.value.ordered.description,.
settings.mod.LobbyMusic.soundtracks.order.value.randomEachLoop,.
settings.mod.LobbyMusic.soundtracks.order.value.randomEachLoop.description,.
settings.mod.LobbyMusic.soundtracks.order.value.randomEachTrack,.
settings.mod.LobbyMusic.soundtracks.order.value.randomEachTrack.description,.
settings.mod.LobbyMusic.soundtracks.randomize,.
settings.mod.LobbyMusic.soundtracks.randomize.description,.
settings.mod.LobbyMusic.soundtracks.virt,.
